"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.statement1a","Input.statement1b","Input.statement2a","Input.statement2b","Input.statement3a","Input.statement3b","Input.statement4a","Input.statement4b","Input.statement5a","Input.statement5b","Answer.Q1","Answer.Q2","Answer.Q3","Answer.Q4","Answer.Q5","Answer.comment1","Answer.comment2","Answer.comment3","Answer.comment4","Answer.comment5","Approve","Reject"
"378G7J1SJLC3WNFTPOH8R1I40FTWE0","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:57 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:57 GMT 2014","","","3MMN5BL1W0I63X3BM4ZQNW7ZCHFM3N","AJPQEZBVJXVE9","Approved","Fri Dec 19 16:46:35 GMT 2014","Fri Dec 19 17:01:39 GMT 2014","Sun Dec 21 17:01:39 GMT 2014","2014/12/21 17:03:10 +0000","","","904","100% (76/76)","100% (76/76)","0% (0/0)","The man in the brown jacket is sitting on the ground by the jetty.","A woman who is ski-ing poses for the camera.","it revealed that somewhere around 50 to eighty suicide bombers are deployed monthly to the branch of al-qaida in the republic of iraq by a network which syria keeps up .","a network supported by syria is sending from 50 to 80 suicide bombers per month to "" al-qa 'ida "" in iraq , he revealed .","The smiling woman at the beach is buried in seaweed.","A girl in a cowboy hat with a sheep on a leash.","A white dog with brown spots is running in a yard, chasing a ball.","A white dog with brown markings chases an orange ball in a grassy field.","Many people are eating in a crowded restaurant.","Diners sit at tables in a crowded restaurant lit in blue.","(0) On different topics.","(5) Completely equivalent, as they mean the same thing.","(5) Completely equivalent, as they mean the same thing.","(5) Completely equivalent, as they mean the same thing.","(3) Roughly equivalent, but some important information differs/missing.","","","","",""
"375VMB7D4JXG3MHO4C29KSRBLSUIDM","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:44 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:44 GMT 2014","","","3C8HJ7UOP887OQA47BUZRXCERCBMZH","AMAOA3GTMDS94","Approved","Fri Dec 19 16:14:48 GMT 2014","Fri Dec 19 16:17:16 GMT 2014","Sun Dec 21 16:17:16 GMT 2014","2014/12/21 16:18:19 +0000","","","148","100% (90/90)","100% (90/90)","0% (0/0)","Romney announces Paul Ryan as running mate","Romney names Ryan as running mate","Two people wearing black are standing in front of a lit up statue.","Two people stand looking at a light scupture at night.","Two dogs are playing in the snow.","Two dogs are playing in a pool.","A skateboarder jumps off the stairs.","A dog jumps off the stairs.","A group of people stands in front of a yellow building.","A young girl standing in front of a fountain","(5) Completely equivalent, as they mean the same thing.","(4) Mostly equivalent, but some unimportant details differ.","(2) Not equivalent, but share some details.","(0) On different topics.","(0) On different topics.","","","","",""
"3538U0YQ1F8YB3D1AFQC4MS7ENDF3U","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:24 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:24 GMT 2014","","","3LPW2N6LKUGSUKVO9PE5T3MD3ZBU5F","A1F8RKCA3O05CP","Approved","Fri Dec 19 17:17:31 GMT 2014","Fri Dec 19 17:29:56 GMT 2014","Sun Dec 21 17:29:56 GMT 2014","2014/12/21 17:33:07 +0000","","","745","100% (93/93)","100% (93/93)","100% (4/4)","MERS respiratory illness found in U.S., officials confirm","First case of MERS, a SARS-like respiratory illness, reported in North America","Obama to meet with China‚Äôs Xi in California June 7-8","Obama to meet Ukrainian prime minister at White House","But with implicit threat that the electoral process will take another course if it is not signed into law by the Presidency Council, things are rising and the forces rejecting the democratic civil society organizations and unions, which call for changing the first article, and the third article, is widening day after day, and there are real threats by the governments of the region and a few forces to boycott the elections if the situation continues regarding the distribution of seats and the ration card. ","But with implicit threat that the electoral process will take another course if it did not sign the law by the Presidency Council, things are rising and the forces rejecting the democratic civil society organizations and unions, and call for changing the first article, and the third is widening day after day, but there are real threats by the government of the region and a few forces to boycott the elections if the situation regarding the distribution of seats and the ration card.","EU declares Hezbollah's military wing terror group","EU puts Hezbollah military wing on terror list","On War Criminals and Heroes: The Whitewashing of Ariel Sharon ŔÄ","On war criminals and heroes: The whitewashing of Ariel Sharon","(4) Mostly equivalent, but some unimportant details differ.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","(5) Completely equivalent, as they mean the same thing.","(5) Completely equivalent, as they mean the same thing.","","","","",""
"335VBRURDJESKR2LWD7GDHAT2E99EO","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:57 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:57 GMT 2014","","","3WZ36BJEV4UFJNX8AUF8RT03UHPBT5","A1GFD4B3NOMWIY","Approved","Fri Dec 19 17:07:17 GMT 2014","Fri Dec 19 17:09:16 GMT 2014","Sun Dec 21 17:09:16 GMT 2014","2014/12/21 17:13:07 +0000","","","119","100% (100/100)","100% (100/100)","100% (70/70)","Three dogs playing in the snow.","Two dogs playing or fighting in the snow.","A grey hound is active in a grassy field.","A bunch of bikes racing on a track.","A golden dog is running through the snow.","A black dog is running through the snow.","The Iranian forces have announced the completion of the first phase of the maneuvers successfully, during which the locally-made fixed and mobile radar network were used, in addition to radars of model for early detection. ","The Iranian forces have announced the completion of the first phase of the maneuvers successfully, during which the fixed and mobile radar network used homemade, in addition to radar for early detection of all its aspects.","Three dogs walking in the grass.","Three dogs playing in the green water.","(4) Mostly equivalent, but some unimportant details differ.","(0) On different topics.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","(2) Not equivalent, but share some details.","","","","",""
"37VUR2VJ6A3VYOFCW9MS8NS7JQ7C1O","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:16 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:16 GMT 2014","","","3VZLGYJEYMOII298LIW82ESCYGVXZC","A1NM7ZPZ3NH412","Approved","Fri Dec 19 16:20:31 GMT 2014","Fri Dec 19 16:21:50 GMT 2014","Sun Dec 21 16:21:50 GMT 2014","2014/12/21 16:23:17 +0000","","","79","100% (100/100)","100% (100/100)","0% (0/0)","the high court declared the case against the machines moot since the justice department has now cleared the machines, and ordered another part back to court to decide a fight over attorney fees.","both sides could have used better attorneys on this, the arguments dance around the real issues and ignore the facts - on both sides.","i will say that i have never found an article on the milwaukee voucher program that proves it's working.","they are literally saying that going above one's superiors is worse than going to the police once one's superiors take action.","problem i see is not the color of people that live in here and not from where they come.","problem is clinton did something no other president did, he violated the oval office by having sex thaere and then lying about it.","Agribusiness: Mad cow disease found in California","USDA Confirms Case of Mad Cow Disease in California","that's why i no longer laugh at them.","it's not like he needs the money.","(0) On different topics.","(0) On different topics.","(0) On different topics.","(4) Mostly equivalent, but some unimportant details differ.","(0) On different topics.","","","","",""
"33BFF6QPI1P0MPZW040C8AE79Q43WH","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:54 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:54 GMT 2014","","","3NGMS9VZTMWVDZRNKCWFTFCNI65FFF","A10GZ0SWBZIRBK","Approved","Fri Dec 19 15:56:25 GMT 2014","Fri Dec 19 15:57:38 GMT 2014","Sun Dec 21 15:57:38 GMT 2014","2014/12/21 15:58:17 +0000","","","73","100% (100/100)","100% (100/100)","0% (0/0)","There are two challenges to online voting which can be seen as well technological as cultural.","The largest barrier to online voting is ensuring that fraud does not occur.","The United States has had a constant 435 members in the House of Representatives since the Reapportionment Act of 1929.","Analysing the number of representatives in various countries, that number is in no direct proportion to the countries' population.","The U.S. appears to have a smaller shadow economy for a few reasons in no particular order.","There are three main factors that drive the low shadow economy in the US.","it revealed that somewhere around 50 to eighty suicide bombers are deployed monthly to the branch of al-qaida in the republic of iraq by a network which syria keeps up .","a network supported by syria is sending from 50 to 80 suicide bombers per month to "" al-qa 'ida "" in iraq , he revealed .","Leaving aside heath care angle, you are working from a flawed premise that waging war doesn't save lives.","Healthcare They would probably reject your implied claim that Obama's healthcare law will save lives.","(4) Mostly equivalent, but some unimportant details differ.","(2) Not equivalent, but share some details.","(3) Roughly equivalent, but some important information differs/missing.","(4) Mostly equivalent, but some unimportant details differ.","(2) Not equivalent, but share some details.","","","","",""
"3538U0YQ1F8YB3D1AFQC4MS7ENEF3V","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:08 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:08 GMT 2014","","","3180JW2OT5QJG4KUXQARM1D2MJAJ55","A10GZ0SWBZIRBK","Approved","Fri Dec 19 16:31:09 GMT 2014","Fri Dec 19 16:32:06 GMT 2014","Sun Dec 21 16:32:06 GMT 2014","2014/12/21 16:33:17 +0000","","","57","100% (100/100)","100% (100/100)","0% (0/0)","Agribusiness: Mad cow disease found in California","USDA Confirms Case of Mad Cow Disease in California","In general English disallows using two different direct possessives together in the some noun phrase.","You can use a possessive pronoun followed by a word with 's (i.e.","I'm American, and I've never heard the bathroom referred to as St. John's.","In situations like these, I tend to lengthen out the phrase.","As a native speaker of American English, I'll say that it's at least not a widely used variant.","The Corpus of Contemporary American English shows 4253 occurrences of “ironic” and 134 occurrences of “ironical”, that is 32 to 1.","The room used for defecation is almost always referred to by euphemism.","I'm English, and would probably use 'toilet' most of the time, and always in the context of a private home.","(4) Mostly equivalent, but some unimportant details differ.","(3) Roughly equivalent, but some important information differs/missing.","(0) On different topics.","(4) Mostly equivalent, but some unimportant details differ.","(3) Roughly equivalent, but some important information differs/missing.","","","","",""
"36D1BWBEHNFFWV9ZS2GKG27O5APM2X","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:08 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:08 GMT 2014","","","3UOUJI6MTES1W3FYFVX0LMDXWZVXU4","A1F8RKCA3O05CP","Approved","Fri Dec 19 19:16:14 GMT 2014","Fri Dec 19 19:18:59 GMT 2014","Sun Dec 21 19:18:59 GMT 2014","2014/12/21 19:23:09 +0000","","","165","100% (93/93)","100% (93/93)","100% (4/4)","In American English, the contracted form ’ve is only possible as an auxiliary verb.","Contracting the main verb in a sentence is perfectly fine.","I always assumed it's like the difference between ""readable"" and ""legible"".","I think eatable is more often used to mean palatable.","Putin Declares Victory in Russia Presidential Vote","Complaints in Russian election mount","I prefer engaging, although Mike's captivating is a pretty close synonym and also good.","The names for Germany in different languages are quite varied.","The best answer I have found so far is here.","The usual way is just to find the Latin root and add the suffix: quintuple, sextuple, septuple, nonuple, etc.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(0) On different topics.","","","","",""
"32TZXEA1OLYS3K2X3UGAPPGJRDR414","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:57 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:57 GMT 2014","","","30H4UDGLT3WDAM8YK2WX0ZA0HD3MPV","AEDV0CBBPU0RE","Approved","Fri Dec 19 16:04:47 GMT 2014","Fri Dec 19 16:06:52 GMT 2014","Sun Dec 21 16:06:52 GMT 2014","2014/12/21 16:08:20 +0000","","","125","100% (99/99)","100% (99/99)","100% (61/61)","Two young children are on sand.","Two young children wearing sunglasses","Two girls are fighting over a ball during a game.","Two dogs either fighting or playing together.","A child is playing a computer game.","A boy is playing a game on a laptop.","A black and white dog runs through the water.","Two black dogs run into the white waves on a beach.","Two shirtless young people playing in the water.","Lots of people play in the water at the beach.","(1) Not equivalent, but are on the same topic.","(2) Not equivalent, but share some details.","(3) Roughly equivalent, but some important information differs/missing.","(3) Roughly equivalent, but some important information differs/missing.","(1) Not equivalent, but are on the same topic.","","","","",""
"34HEO7RUG68VYEHVAP5G8JKWNLGRAX","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:58 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:58 GMT 2014","","","333U7HK6IATEKHZNCWSAKD1UZ09JDE","A179VVX2QGAJK0","Approved","Fri Dec 19 16:49:04 GMT 2014","Fri Dec 19 16:50:18 GMT 2014","Sun Dec 21 16:50:18 GMT 2014","2014/12/21 16:53:09 +0000","","","74","100% (38/38)","100% (38/38)","0% (0/0)","Remains of 167 bodies found in Mexican cave","Remains of 167 people found in Mexico cave","A dog is running along the grass.","A brown dog is running on grass.","A black dog running through the snow.","A black dog runs through the water.","A brown dog is digging in the dirt.","A dog is digging a hole in the dirt","Two young girls with dyed hair talk to two boys in black.","two girls with pink streaked hair and two boys with black hair standing next to a concrete building.","(5) Completely equivalent, as they mean the same thing.","(3) Roughly equivalent, but some important information differs/missing.","(3) Roughly equivalent, but some important information differs/missing.","(3) Roughly equivalent, but some important information differs/missing.","(3) Roughly equivalent, but some important information differs/missing.","","","","",""
"37MQ8Z1JQEAFQCYDB54VAXUVEK32Y3","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:45 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:45 GMT 2014","","","3I0BTBYZAYZAGMTSMK5IFTWZIF5Y0Q","A1TTA3N401CZTS","Approved","Fri Dec 19 16:04:16 GMT 2014","Fri Dec 19 16:04:50 GMT 2014","Sun Dec 21 16:04:50 GMT 2014","2014/12/21 16:08:17 +0000","","","34","100% (96/96)","100% (96/96)","0% (0/0)","The dogs play in the snow on hind legs.","Two dogs play in the snow.","Two dogs running through tall grass.","Three dogs running through the snow.","A surfer on a wave.","A surfer is riding a wave.","a black dog runs across the snow.","A black dog is running across a field.","producing their best rescue attempts are cops equipped with weapons , coppers that uphold public protection , aesculapian personnel , among others .","the armed officers , the officers from the public security police force , and the nursing staff are exerting all of their energy to save the victims .","(4) Mostly equivalent, but some unimportant details differ.","(2) Not equivalent, but share some details.","(5) Completely equivalent, as they mean the same thing.","(3) Roughly equivalent, but some important information differs/missing.","(4) Mostly equivalent, but some unimportant details differ.","","","","",""
"37VUR2VJ6A3VYOFCW9MS8NS7JQ8C1P","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:58 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:58 GMT 2014","","","3UJ1CZ6IZI3CF73KKKJ5E24PI2LS5S","AJPQEZBVJXVE9","Approved","Fri Dec 19 16:14:25 GMT 2014","Fri Dec 19 16:15:48 GMT 2014","Sun Dec 21 16:15:48 GMT 2014","2014/12/21 16:18:15 +0000","","","83","100% (76/76)","100% (76/76)","0% (0/0)","Romney picks Ryan as vice presidential running mate: source","Romney to tap Ryan as vice presidential running mate","A black dog walking beside a pool.","A black dog is walking along the side of a pool.","Three children playing with hay outdoors, throwing some at camera lens.","Three young children play in the hay, throwing some at the camera.","A man is standing on top of a mountain gazing at the sunset.","A man standing in the mountains watching a sunset.","Two dogs standing in a lake.","Two dogs playing on grass.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","(5) Completely equivalent, as they mean the same thing.","(4) Mostly equivalent, but some unimportant details differ.","(3) Roughly equivalent, but some important information differs/missing.","","","","",""
"35F6NGNVM8XQVRWP7BYRY7JOAY7T7L","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:46 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:46 GMT 2014","","","3AMW0RGHOEGJS4TYW3BXDEZ0M3GPN1","A2LVGE0TI3E7Q9","Approved","Fri Dec 19 16:37:47 GMT 2014","Fri Dec 19 16:39:22 GMT 2014","Sun Dec 21 16:39:22 GMT 2014","2014/12/21 16:43:08 +0000","","","95","100% (26/26)","100% (26/26)","100% (6/6)","A child is playing a computer game.","A boy is playing a game on a laptop.","Two men in a running contest.","Dogs in a race.","Three women dressed up in green and shamrocks.","Three women wearing plenty of green and shamrocks.","A girl in a pink jacket is walking through a large puddle.","A young boy is splashing through a puddle of water.","A brown dog running after a a red ball.","A brown dog is running along a beach.","(4) Mostly equivalent, but some unimportant details differ.","(1) Not equivalent, but are on the same topic.","(5) Completely equivalent, as they mean the same thing.","(2) Not equivalent, but share some details.","(2) Not equivalent, but share some details.","","","","",""
"33Q5P9PUSP0STK0K4KVK0HCJW5KZC0","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:09 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:09 GMT 2014","","","345LHZDEDY6PG58KV6QCE6OTP3I3UW","A10GZ0SWBZIRBK","Approved","Fri Dec 19 16:45:34 GMT 2014","Fri Dec 19 16:46:31 GMT 2014","Sun Dec 21 16:46:31 GMT 2014","2014/12/21 16:48:16 +0000","","","57","100% (100/100)","100% (100/100)","0% (0/0)","In American English, ""learned"" is the usual spelling; ""learnt"" is too rare.","Merriam-Webster marks learnt as ""chiefly British"", and Wiktionary as ""UK"", adding that learned is the ""Standard US English spelling"".","Besides those in others' answers, there are: attorneys general, secretaries general, solicitors general, postmasters general, governors-general, etc.","Men-o’-war is a nice one: shows that irregular plurals are just as susceptible to this construction.","issues about others , discuss them cautiously ;","we had better be cautious saying anything about other people ;","I live in Melbourne, Australia and there's this sport called Footy which is believed to be ""the real football""!","The name soccer is derived from Association Football in the same way that rugger is derived from Rugby Football.","Detectors (and sensors) are generally rated on ""sensitivity"" and many systems allow the sensitivity setting to be set or ""tuned"".","I upvoted @hellion's ""strict"" but you might also consider stringent, vigilant, or even hyper-vigilant.","(5) Completely equivalent, as they mean the same thing.","(1) Not equivalent, but are on the same topic.","(5) Completely equivalent, as they mean the same thing.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","","","","",""
"341H3G5YF0S8ZS54S4205GAINGO0Z9","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:46 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:46 GMT 2014","","","3CPLWGV3MPDY0HDRFEF0ROZLHZV9NN","A1F8RKCA3O05CP","Approved","Fri Dec 19 15:47:49 GMT 2014","Fri Dec 19 16:15:31 GMT 2014","Sun Dec 21 16:15:31 GMT 2014","2014/12/21 16:18:15 +0000","","","1662","100% (93/93)","100% (93/93)","100% (4/4)","A skateboarder mid air with his skateboard.","Teen grinding a bench on a skateboard","in this frame a group of individuals intentionally come together to form a group. alternatively, a grammatically more prominent party_1 assembles with a party_2, expressed as an oblique phrase. if this asymmetric construal is chosen, purpose only relates to party_1.","satisfy a condition or restriction;","Two kids are walking on a path in the woods.","Two children walking down a path in the woods.","A black and white dog runs through the water.","Black and brown dog runs through field.","A man sits on a horse with mountains in the background.","A man riding a brown horse poses in front of a mountain scene.","(4) Mostly equivalent, but some unimportant details differ.","(0) On different topics.","(5) Completely equivalent, as they mean the same thing.","(2) Not equivalent, but share some details.","(4) Mostly equivalent, but some unimportant details differ.","","","","",""
"35U0MRQMUJLCTPSDTSF8ABT4X8WOVL","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:16 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:16 GMT 2014","","","37QW5D2ZRH0V2PMMIIQ8QMEGKSJS8R","A1F8RKCA3O05CP","Approved","Fri Dec 19 15:41:48 GMT 2014","Fri Dec 19 15:49:32 GMT 2014","Sun Dec 21 15:49:32 GMT 2014","2014/12/21 15:53:08 +0000","","","464","100% (93/93)","100% (93/93)","100% (4/4)","he does not have the balls to put his own numbers on the table, and suggest how they pay for it.","i had moved to new york to be close to the power center of the country for my anti war activity.","some of the autobiographies are good though, i've got major's, thatchers, hestletine's, lawson's and howe's.","show me where the health insurance companies are coming together to protest the contraception mandate.","how long ago was this?","so what do you think?","the truth is the current socio-economic system is out of date.","that is a human-driven consequence; it is not because of the ideology.","Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.","The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.","(0) On different topics.","(0) On different topics.","(0) On different topics.","(0) On different topics.","(3) Roughly equivalent, but some important information differs/missing.","","","","",""
"338431Z1FLTK0IBWK8AY9E41C2JROV","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:26 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:26 GMT 2014","","","33OOO72IVIZYTSPEOUB32D6LC2OTCT","A1NM7ZPZ3NH412","Approved","Fri Dec 19 16:42:33 GMT 2014","Fri Dec 19 16:43:23 GMT 2014","Sun Dec 21 16:43:23 GMT 2014","2014/12/21 16:48:10 +0000","","","50","100% (100/100)","100% (100/100)","0% (0/0)","the context or setting in which something takes place","the act of cutting something into parts.","Chinese president arrives in Netherlands for state visit, nuclear summit","Chinese president arrives in Venezuela for state visit","Israel sanctions Palestinians in new blow to peace talks","Israel to release Palestinian prisoners as part of deal to revive peace talks","UK Sky News cameraman killed in Egypt","Sky News Cameraman Killed In Egypt","NATO soldier killed in Taliban attack","Four soldiers killed in Yemen","(0) On different topics.","(3) Roughly equivalent, but some important information differs/missing.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","(3) Roughly equivalent, but some important information differs/missing.","","","","",""
"366FYU4PTG3C1NLC0AY53QO9D8LKET","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:09 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:09 GMT 2014","","","323Q6SJS8JUFRVITF2KFW0O0YLNHFK","A841FR9QWUPT4","Approved","Fri Dec 19 17:17:22 GMT 2014","Fri Dec 19 17:18:23 GMT 2014","Sun Dec 21 17:18:23 GMT 2014","2014/12/21 17:23:06 +0000","","","61","100% (98/98)","100% (98/98)","100% (35/35)","Well, the short answer is that it does not matter.","This is a workaround to plug avalent verbs into the rigid English sentence structure.","""Setup"" is noun, not a verb, so you wouldn't ""Setup something"".","Both ""set up something"" and ""set something up"" are perfectly correct English, as ""set up"" is a phrasal verb.","It's an adjective in the sense that it modifies the meaning of the noun it applies to.","There might be a context where the definite article 'the' is used as an adjective.","I believe that in case of written English, the sentence does not indicate the mood of the author.","While, as jcarmody says, fine is an adjective rather than adverb, phrases such as this are fine for informal contexts.","the 25 page long report asserted that out of the 18 goals , the government of al-maliki achieved only 8 , two of which were deemed "" weak . ""","it was stated in the write up , released in twenty-five pages , that al-maliki 's regime accomplished only eight of eighteen objectives , 2 of which were scored "" weak "" .","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(2) Not equivalent, but share some details.","(4) Mostly equivalent, but some unimportant details differ.","(2) Not equivalent, but share some details.","","","","",""
"360ZO6N6J1XQWFUYDBVZQPF2BGYM9O","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:16 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:16 GMT 2014","","","3F6KKYWMNCFA37Q8RUK2DKIB8KCNDK","A10GZ0SWBZIRBK","Approved","Fri Dec 19 16:09:21 GMT 2014","Fri Dec 19 16:10:04 GMT 2014","Sun Dec 21 16:10:04 GMT 2014","2014/12/21 16:13:12 +0000","","","43","100% (100/100)","100% (100/100)","0% (0/0)","don't even want to imagine pitocin-induced contrax.","i can't even put it into words.","an agent actively (yet not always with success) attempts to keep an event from taking place. this event is (usually) an urge which encourages the action that the agent wishes to prevent.","abstain from doing; always used with a negative;","it is possible that powell sold his soul to the devil like the rest of them.","i would hope that all of us learned something from them.","best wishes, yes he had an affair.","reality is, i was there before and returned again.","i suppose this type of callousness towards the slaughter of civilians should be expected from an avowed zionist.","i suppose that is one of the reasons i see this whole stem cell thing as so weird.","(0) On different topics.","(2) Not equivalent, but share some details.","(0) On different topics.","(0) On different topics.","(0) On different topics.","","","","",""
